Kode	Uraian	Satuan	 Harga 
	BATU TEMPEL HITAM	m2	 Rp148,000 
	GRANIT 40 x 40 cm	buah	 Rp26,900 
	GRANIT 30 x 30 cm	buah	 Rp13,200 
	Marmer	buah	 Rp481,900 
	BUIS BETON Ø 30 cm - 100 cm	buah	 Rp110,000 
	Besi Beton Polos	kg	 Rp13,700 
	Besi Strip	kg	 Rp17,300 
	Baja Profil	kg	 Rp18,500 
	Kawat beton	kg	 Rp22,500 
	Kawat Nyamuk Nylon	m2	 Rp21,600 
	Kawat duri	meter	 Rp6,800 
	AKUSTIK-uk : 30 X 30	lembar	 Rp12,600 
	AKUSTIK-uk : 30 X 60	lembar	 Rp36,900 
	"	AKUSTIK-uk : 60 X 120"	lembar	 Rp104,500 
	List Kayu Profil	m3	 Rp2,543,400 
	"	Gypsum tebal 9 mm"	lembar	 Rp64,500 
	"	PLY WOOD Teak Wood 120 X 240 x 3 mm"	lembar	 Rp62,400 
	PLY WOOD Teak Wood 90 X 210 x 4 mm	lembar	 Rp68,500 
	Plywood 4mm	lembar	 Rp81,000 
	PLY WOOD Tripleks 120 X 240 x 6 mm	lembar	 Rp117,600 
	Plywood 9 mm	lembar	 Rp123,200 
	PLY WOOD Multipleks 120 X 240 x 18 mm	lembar	 Rp259,700 
	PLY WOOD Formika ukuran pintu	lembar	 Rp115,900 
	Cat Menie Kayu	"liter
"	 Rp48,000 
	Plamuur	kg	 Rp40,500 
	Ampelas	lembar	 Rp8,600 
	Cat Kayu Dasar	kg	 Rp60,300 
	Politur jadi	liter	 Rp97,600 
	Kalkarium	kg	 Rp56,700 
	Kapur sirih	kg	 Rp17,000 
	Menie Besi	liter	 Rp57,200 
	Pengencer	"Kg
"	 Rp31,600 
	Residu	liter	 Rp17,000 
	"	Kaca Polos 3 mm"	m2	 Rp103,900 
	Kaca Polos 5 mm	m2	 Rp126,500 
	Kunci tanam	buah	 Rp76,500 
	Kunci tanam KM	buah	 Rp41,700 
	"	Kunci tanam biasa"	buah	 Rp93,900 
	Engsel dan Grendel Angin	buah	 Rp26,200 
	Engsel dan Grendel Kupu-kupu biasa	buah	 Rp28,100 
	Engsel dan Grendel Nylon kupu-kupu	buah	 Rp86,700 
	Kait Angin	buah	 Rp12,300 
	Door Stop	buah	 Rp53,600 
	Closet duduk	Unit	 Rp2,231,900 
	Closet Jongkok	Unit	 Rp483,100 
	Seal tape	"buah
"	 Rp19,800 
	Floor drain	Unit	 Rp50,900 
	Paku biasa 2" - 5"	kg	 Rp29,300 
	Paku sekrup	kg	 Rp78,800 
	LEM KAYU	kg	 Rp27,600 
	Tali Ijuk	kg	 Rp36,300 
	Rel Pintu sorong	set	 Rp257,200 
	Jendela nako (rangka+kaca 5 mm)	buah	 Rp72,600 
	Rolling door Almunium	m2	 Rp673,700 
	KACA Cermin tebal 5 mm	m2	 Rp204,700 
	Kawat jaring	lembar	 Rp72,500 
	Minyak Beton & bekisting	liter	 Rp42,000 
	Pintu Lipat Besi	m2	 Rp1,006,500 
	Sunscreen Allumunim	m2	 Rp788,500 
	Allumunium Foil	m2	 Rp16,000 
	Soda api	kg	 Rp20,400 
	Sabun	kg	 Rp15,100 
	"	Air"	liter	 Rp100 
	Alang-alang	ikat	 Rp63,500 
	Solar (Industri)	liter	 Rp19,400 
	Vynil 30x30 cm	buah	 Rp22,700 
	Kolom Beton Pracetak	batang	 Rp296,000 
	Panel Beton Pracetak	lembar	 Rp260,100 
	Kapur Padam	m3	 Rp201,800 
	Sirtu	m3	 Rp146,000 
	Waterstop Lebar 150 mm	m3	 Rp67,000 
	"	Waterstop Lebar 200 mm"	meter	 Rp113,400 
	Waterstop Lebar 230-320 mm	meter	 Rp126,800 
	"	Screening"	kg	 Rp164,400 
	Semen Grout	kg	 Rp8,000 
	Papan Cor	m3	 Rp24,800 
	Besi baja IWF	kg	 Rp16,300 
	Profil alluminium	meter	 Rp138,100 
	Skrup fixer	buah	 Rp300 
	Sealant	tube	 Rp21,000 
	Alluminium strip	meter	 Rp56,700 
	Pintu alluminium	meter	 Rp567,000 
	Profil kaca	meter	 Rp100,500 
	Bata Rooster	"buah
"	 Rp13,600 
	"	Bata Terawang/Berongga"	"buah
"	 Rp16,900 
	Karpet	m2	 Rp29,600 
	"	Underlayer"	m2	 Rp16,700 
	Parquet	m2	 Rp319,100 
	"Dinabolt Ø 12 mm (10 s/d 15 cm)	"	buah	 Rp3,800 
	Phenol film 12 mm	lembar	 Rp237,000 
	Besi Hollow (50x50x3) mm	kg	 Rp19,100 
	Kawat las	kg	 Rp46,100 
	Besi Square tube	meter	 Rp28,500 
	Besi List Kaca 1 x 1 cm	meter	 Rp54,200 
	Venetions Blinds dan Vertical Blinds (tirai)	m2	 Rp225,700 
	Rangka metal hollow 40.40	meter	 Rp20,000 
	Bata Ringan Tebal 7,5 cm	buah	 Rp9,100 
	Mortar Siap Pakai	kg	 Rp7,500 
	Bata Ringan Tebal 10 cm	buah	 Rp10,900 
	Batu granit	kg	 Rp119,100 
	Batu traso	kg	 Rp5,900 
	Ubin abu-abu	buah	 Rp13,400 
	UBIN (TEGEL BIASA) PC warna 40 X 40 cm	buah	 Rp18,600 
	UBIN (TEGEL BIASA) Teraso 40 X 40 cm	buah	 Rp31,700 
	UBIN (TEGEL BIASA) Teraso 30 X 30 cm	buah	 Rp26,600 
	Ubin Teralux Marmer 40 X 40 cm	buah	 Rp73,700 
	Ubin teralux 30 X 30 cm	buah	 Rp19,400 
	Ubin teralux marmer 60 X 60 cm	buah	 Rp113,800 
	Ubin teralux marmer 30 X 30 cm	buah	 Rp51,000 
	TEGEL PLINT PC abu-abu 10 x 30	buah	 Rp5,700 
	TEGEL PLINT PC abu-abu 10 x 40	buah	 Rp8,700 
	TEGEL PLINT PC warna 10 x 30 cm	buah	 Rp5,800 
	TEGEL PLINT PC warna 10 X 40 cm	"meter
"	 Rp9,300 
	Plint ubin teraso ukuran 10 x 30cm	buah	 Rp10,200 
	Plint ubin teraso ukuran 10 x 40cm	buah	 Rp13,600 
	Plint ubin granit ukuran 10 x 40cm	buah	 Rp13,200 
	Plint ubin teralux kerang ukuran 10cm x 40cm	buah	 Rp11,300 
	Plint ubin teralux kerang ukuran 10cm x 30cm	buah	 Rp8,500 
	Plint ubin teralux marmer ukuran 10cm x 40cm	buah	 Rp17,000 
	Plint ubin teralux marmer ukuran 10cm x 40cm	buah	 Rp11,300 
	Ubin Keramik	buah	 Rp7,300 
	Keramik 10 x 20 cm	buah	 Rp2,300 
	Keramik 10 x 10 cm	buah	 Rp2,200 
	Plint Keramik 5 x 20 cm	buah	 Rp3,300 
	Plint internal cove 5 x 5 x 20 cm	buah	 Rp13,600 
	Keramik artistik 5 x 20 cm	buah	 Rp8,200 
	Keramik artistik 20 x 20 cm	buah	 Rp2,400 
	Paku 12 cm	kg	 Rp22,700 
	Bata pelapis	buah	 Rp2,200 
	Wallpaper	meter	 Rp35,300 
	Paving Block Tebal 6 cm	"m2
"	 Rp105,900 
	Paving Block berwarna Tebal 6 cm	"m2
"	 Rp104,200 
	Paving Block Tebal 8 Cm Natural	"m2
"	 Rp152,200 
	Kawat diameter 4 mm	kg	 Rp52,000 
	Ramset	buah	 Rp13,000 
	Rooflight 90 x 180	lembar	 Rp172,400 
	Asbes gelombang	lembar	 Rp118,600 
	Paku pancing 6 x 23	"kg
"	 Rp22,700 
	Bubung stel gelombang	lembar	 Rp51,100 
	Nok paten 92-108 cm	lembar	 Rp34,400 
	Genteng aspal	buah	 Rp65,300 
	Plastic aerotor	buah	 Rp2,300 
	Genteng metal	buah	 Rp40,700 
	Nok genteng aspal	buah	 Rp114,500 
	Nok genteng metal	buah	 Rp25,100 
	Bilik Bambu	"m2
"	 Rp43,700 
	Kunci tanam antik	buah	 Rp150,500 
	Spring knip	buah	 Rp30,600 
	Door closer	set	 Rp228,500 
	Door holder	"buah
"	 Rp259,300 
	"	Kunci lemari"	set	 Rp10,800 
	Kaca buram 12 mm	"m2
"	 Rp475,800 
	Kaca cermin 8 mm	"m2

"	 Rp556,100 
	"	Kaca wireglassed 5 mm"	"m2
"	 Rp245,200 
	Kaca patri 5 mm	m2	 Rp2,201,400 
	Teak Oil	liter	 Rp56,200 
	Vernis	liter	 Rp78,200 
	Menie A	liter	 Rp51,900 
	Menie B	liter	 Rp38,400 
	"	Cat antara"	kg	 Rp98,900 
	"	Wood filler"	kg	 Rp28,300 
	Woodstain	kg	 Rp105,500 
	Sanding	kg	 Rp90,700 
	"	Melamic"	kg	 Rp154,200 
	Urinoir	unit	 Rp754,900 
	Bak fiberglass	unit	 Rp337,700 
	"	Baja tulangan"	kg	 Rp16,400 
	Bak cuci piring	unit	 Rp200,200 
	Waterdrain	buah	 Rp70,100 
	"	Pipa Galvanis Medium 0,50"""	"meter
"	 Rp44,100 
	Pipa Galvanis 1"	"meter
"	 Rp45,700 
	Pipa galvanis 1 1/2"	meter	 Rp95,300 
	"	Pipa Galvanis 3"""	meter	 Rp219,900 
	Pipa Galvanis 4"	meter	 Rp343,300 
	Pipa PVC 2 1/2"	meter	 Rp45,500 
	Pipa tanah	buah	 Rp30,400 
	Pipa tanah diameter 15 cm	buah	 Rp579,700 
	Pipa PVC Ø 150  mm	"meter
"	 Rp200,200 
	Pipa PVC Ø 300 mm	"meter
"	 Rp743,800 
	Pipa PVC 3/4"	"meter
"	 Rp11,400 
	Pipa HDPE Ø 63  mm	buah	 Rp177,200 
	Pipa HDPE Ø 100  mm	buah	 Rp877,700 
	Pipa HDPE Ø 125  mm	buah	 Rp682,800 
	Pipa HDPE Ø 150  mm	buah	 Rp1,040,000 
	Pipa HDPE Ø 200  mm	buah	 Rp1,744,300 
	Pipa HDPE Ø 400  mm	buah	 Rp6,939,100 
	Pipa HDPE Ø 300  mm	buah	 Rp4,150,600 
	Pipa HDPE Ø 450  mm	buah	 Rp8,791,500 
	Pipa HDPE Ø 500  mm	buah	 Rp10,832,400 
	Pipa HDPE Ø 600  mm	buah	 Rp16,545,800 
	Pipa GIP Ø 63 mm	buah	 Rp819,200 
	Pipa GIP Ø 100 mm	buah	 Rp1,327,800 
	"	Pipa GIP Ø 125 mm"	meter	 Rp390,000 
	Pipa GIP Ø 150 mm	buah	 Rp2,538,400 
	Pipa GIP Ø 200 mm	buah	 Rp4,964,500 
	"	Pipa GIP Ø 300 mm"	buah	 Rp8,441,200 
	Pipa GIP Ø 400 mm	buah	 Rp14,742,600 
	Pipa GIP Ø 450 mm	buah	 Rp23,119,200 
	Pipa GIP Ø 500 mm	buah	 Rp25,742,100 
	Pipa DCI Ø 100 mm	buah	 Rp447,700 
	Pipa DCI Ø 125 mm	buah	 Rp467,200 
	Pipa DCI Ø 150 mm	buah	 Rp906,300 
	Pipa DCI Ø 200 mm	buah	 Rp1,387,300 
	Pipa DCI Ø 250 mm	buah	 Rp2,205,100 
	Pipa DCI Ø 300 mm	buah	 Rp3,432,500 
	Pipa DCI Ø 400 mm	buah	 Rp5,559,000 
	Pipa DCI Ø 500 mm	buah	 Rp8,647,900 
	Pipa DCI Ø 600 mm	buah	 Rp14,271,600 
	Pipa baja Ø 100 mm	buah	 Rp2,451,600 
	Pipa baja Ø 125 mm	buah	 Rp3,674,000 
	Pipa baja Ø 150 mm	buah	 Rp4,459,600 
	Pipa baja Ø 200 mm	buah	 Rp7,212,000 
	"	Pipa baja Ø 250 mm"	buah	 Rp9,922,200 
	"	Pipa baja Ø 63 mm"	buah	 Rp1,170,200 
	"	Kaca Polos 8 mm"	m2	 Rp189,900 
	Saklar tunggal	buah	 Rp16,400 
	Pipa GIP Ø 250 mm	buah	 Rp7,614,200 
	Valve Ø 150 mm	buah	 Rp10,347,400 
	Valve Ø 200 mm	buah	 Rp16,867,700 
	Valve Ø 250 mm	buah	 Rp27,640,300 
	"	Valve Ø 300 mm"	buah	 Rp18,682,000 
	Tee Ø 150 mm	buah	 Rp206,700 
	Tee Ø 200 mm	buah	 Rp474,400 
	Tee Ø 250 mm	buah	 Rp2,045,700 
	Tee Ø 300 mm	buah	 Rp3,477,900 
	Tee Ø 400 mm	buah	 Rp4,524,500 
	Tee Ø 450 mm	buah	 Rp7,705,300 
	Pipa Ø 80 mm	buah	 Rp254,900 
	Pipa Ø 100 mm	buah	 Rp397,100 
	Pipa Ø 150 mm	buah	 Rp858,700 
	Pipa Ø 200 mm	buah	 Rp1,437,300 
	Pipa Ø 250 mm	buah	 Rp2,178,700 
	Pipa Ø 300 mm	buah	 Rp3,066,500 
	Pipa Ø 400 mm	buah	 Rp4,110,600 
	Bahan bakar	liter	 Rp18,100 
	Oli	liter	 Rp64,900 
	Pipa listrik 5/8	batang	 Rp10,400 
	T Dus	buah	 Rp1,900 
	L Bow	buah	 Rp14,200 
	Las Dop	buah	 Rp600 
	Klem	buah	 Rp500 
	Mongkok	buah	 Rp1,600 
	"	Fitting"	buah	 Rp13,100 
	MCB	buah	 Rp65,700 
	Glass Bead	Kg	 Rp22,700 
	Agregat Pecah Kasar	m3	 Rp432,900 
	Bahan Tanah Timbunan	m3	 Rp182,200 
	Kerosen/Minyak Tanah	liter	 Rp17,100 
	"	Cat Marka (Thermoplastic)"	"kg
"	 Rp63,500 
	Kayu Perancah	m3	 Rp2,725,100 
	Agregat Base Kelas A	m3	 Rp356,600 
	Agregat Base Kelas B	m3	 Rp351,000 
	Aspal Emulsi	kg	 Rp16,400 
	"	Rel Pengaman"	"meter
"	 Rp1,020,600 
	"	Baja tulangan (polos)"	kg	 Rp16,300 
	Urugan Pilihan	m3	 Rp272,900 
	Beton K.300	m3	 Rp1,530,800 
	"	Timbunan Porus"	m3	 Rp457,000 
	Cat Anti Karat	kg	 Rp77,200 
	Curing Compound	liter	 Rp35,300 
	Expansion Cap	m2	 Rp20,500 
	Formwork Plate tebal 6 mm	m2	 Rp56,700 
	"	Aspal"	kg	 Rp16,500 
	Agregat Pecah Mesin 0-5 mm	m3	 Rp406,000 
	Agregat Pecah Mesin 5-10 & 10-15 mm	"	
m3"	 Rp407,500 
	Superplastisizer	kg	 Rp37,000 
	Koral Beton (m3)	m3	 Rp436,700 
	PASIR Urug	m3	 Rp293,000 
	"	PASIR Pasang"	m3	 Rp376,700 
	Air (m3)	m3	 Rp100 
	"	Pasir Beton"	m3	 Rp387,600 
	Casing	m2	 Rp26,000 
	Tanah Liat	"m3
"	 Rp167,700 
	Kerikil (Maks 30 mm)	kg	 Rp300 
	Paku 5-10 cm	kg	 Rp22,500 
	Paku 5-7 cm	kg	 Rp22,500 
	Besi siku L 30.30.3	kg	 Rp40,500 
	"	Besi pelat baja"	kg	 Rp19,900 
	Paku 1 - 2.5 cm	kg	 Rp22,500 
	Baja ringan canai dingin C75	kg	 Rp16,500 
	Besi angkur diameter 8	kg	 Rp51,200 
	Lem	kg	 Rp131,500 
	Sealant	kg	 Rp55,900 
	Papan kayu kelas I	m3	 Rp12,340,300 
	Paku/Skrup 5 cm	kg	 Rp112,100 
	Paving Block Tebal 8 cm Berwarna	m2	 Rp182,500 
	Cat penutup	kg	 Rp87,500 
	"	Politur"	liter	 Rp111,100 
	"	Dempul"	kg	 Rp52,600 
	Perancah kayu	"m3
"	 Rp2,304,800 
	Cat	Kg	 Rp55,100 
	Pengencer	liter	 Rp43,700 
	"	Thinner"	liter	 Rp55,900 
	"	Paku tripleks"	Kg	 Rp41,900 
	Asbes semen	m2	 Rp186,000 
	Genteng bubung	buah	 Rp13,500 
	"	Paku 0.5"" - 1"""	kg	 Rp42,800 
	Paku skrup 3.5"	kg	 Rp80,300 
	Nok genteng beton	buah	 Rp19,600 
	Paku 10 cm	kg	 Rp22,500 
	Kaso-kaso 5x7 cm	m3	 Rp7,847,000 
	Reng	m3	 Rp2,267,900 
	Kunci silinder	buah	 Rp85,300 
	Kunci slot	buah	 Rp19,400 
	Wastafel	"Unit
"	 Rp451,300 
	"Bata merah	"	m3	 Rp708,900 
	Kayu bekisting	m2	 Rp3,292,200 
	Kran Air	buah	 Rp48,000 
	Pipa galvanis 3/4"	meter	 Rp39,400 
	Pipa PVC 1/2"	meter	 Rp8,400 
	"	Pipa PVC 1"""	meter	 Rp14,500 
	"Pipa PVC 1 1/2""	"	meter	 Rp24,800 
	Pipa PVC 2"	meter	 Rp32,800 
	Pipa PVC 3"	meter	 Rp57,700 
	Pipa PVC Ø 63 mm	meter	 Rp38,600 
	"	Pipa PVC Ø 90 mm"	meter	 Rp67,800 
	Pipa PVC Ø 110 mm	meter	 Rp92,400 
	Pipa DCI Ø 100 mm	meter	 Rp74,600 
	Pipa PVC Ø 200 mm	meter	 Rp338,400 
	"	Pipa PVC Ø 250 mm"	meter	 Rp529,800 
	Pipa HDPE Ø 63 mm	meter	 Rp29,500 
	"	Pipa HDPE Ø 100 mm"	meter	 Rp146,300 
	Pipa HDPE Ø 125 mm	meter	 Rp113,800 
	"	Pipa HDPE Ø 150 mm"	meter	 Rp173,300 
	Pipa HDPE Ø 200 mm	meter	 Rp290,700 
	"	Pipa HDPE Ø 250 mm"	meter	 Rp452,100 
	"	Pipa HDPE Ø 300 mm"	meter	 Rp691,800 
	"	Pipa HDPE Ø 400 mm"	meter	 Rp1,156,500 
	"	Pipa HDPE Ø 450 mm"	meter	 Rp1,465,200 
	Pipa HDPE Ø 500 mm	meter	 Rp1,805,400 
	Pipa HDPE Ø 600 mm	meter	 Rp2,757,600 
	"	Pipa GIP Ø 63 mm"	meter	 Rp136,500 
	Pipa GIP Ø 100 mm	meter	 Rp221,300 
	Pipa GIP Ø 150 mm	meter	 Rp423,100 
	Pipa  GIP Ø 200 mm	meter	 Rp838,900 
	Pipa  GIP Ø 250 mm	meter	 Rp1,560,700 
	Pipa  GIP Ø 300 mm	meter	 Rp1,560,700 
	Pipa  GIP Ø 400 mm	meter	 Rp2,340,700 
	Pipa  GIP Ø 450 mm	meter	 Rp3,853,200 
	"	Pipa  GIP Ø 500 mm"	meter	 Rp4,290,300 
	Pipa  DCI Ø 125 mm	meter	 Rp71,200 
	Pipa  DCI Ø 150 mm	meter	 Rp151,000 
	Pipa  DCI Ø 200 mm	meter	 Rp231,200 
	Pipa  DCI Ø 250 mm	meter	 Rp367,500 
	Pipa  DCI Ø 300 mm	meter	 Rp572,100 
	Pipa  DCI Ø 400 mm	meter	 Rp926,500 
	Pipa  DCI Ø 500 mm	meter	 Rp1,441,300 
	"	Pipa  DCI Ø 600 mm"	meter	 Rp2,378,600 
	Pipa baja Ø 63 mm	meter	 Rp195,000 
	"	Pipa  Baja Ø 100 mm"	meter	 Rp452,300 
	Pipa  Baja Ø 125 mm	meter	 Rp612,400 
	Pipa  Baja Ø 150 mm	meter	 Rp743,300 
	Pipa  Baja Ø 200 mm	meter	 Rp1,202,000 
	Pipa  Baja Ø 250 mm	meter	 Rp1,653,700 
	"	Pipa  Baja Ø 300 mm"	meter	 Rp1,718,000 
	Pipa  Baja Ø 400 mm	meter	 Rp2,290,600 
	Pipa  Baja Ø 450 mm	meter	 Rp2,576,900 
	Pipa  Baja Ø 500 mm	meter	 Rp2,863,300 
	Pipa  Baja Ø 800 mm	meter	 Rp4,581,200 
	Pipa  Baja Ø 600 mm	meter	 Rp3,435,900 
	Pipa  Baja Ø 900 mm	meter	 Rp5,153,900 
	Paku biasa	kg	 Rp27,400 
	Kayu papan kelas III	m3	 Rp8,504,700 
	"Kayu balok 5/7 kelas III	"	m3	 Rp8,504,700 
	Batu pecah	m3	 Rp418,600 
	Kerikil (2cm/3cm)	m3	 Rp388,400 
	Jaring kawat baja dilas	kg	 Rp16,100 
	Kayu kelas III	m3	 Rp8,504,700 
	Balok kayu kelas II	m3	 Rp8,504,700 
	Paku 5-12 cm	kg	 Rp22,500 
	Kayu kelas III (papan)	m3	 Rp8,504,700 
	Minyak bekisting	liter	 Rp42,000 
	Kayu Kaso 5/7 (lebar 5 cm, tinggi 7cm)	m3	 Rp2,653,500 
	Pipa PVC Ø 63 mm	buah	 Rp154,300 
	Pipa PVC Ø 90 mm	buah	 Rp271,300 
	"	Pipa PVC Ø 110 mm"	buah	 Rp369,400 
	Pipa PVC Ø 150 mm	buah	 Rp526,400 
	Pipa PVC Ø 200 mm	buah	 Rp893,300 
	Pipa PVC Ø 250 mm	buah	 Rp1,407,600 
	Pipa PVC Ø 300 mm	buah	 Rp1,971,900 
	Baja Strip (0,2x2) cm	kg	 Rp24,700 
	paku skrup 1 cm - 2,5 cm	buah	 Rp200 
	"Geotekstile Filter Kelas 2	"	m2	 Rp22,500 
	Agregat Base Kelas S	m3	 Rp332,800 
	Agregat Pecah Mesin 20-30 mm	m3	 Rp383,900 
	Bahan anti pengelupasan	kg	 Rp118,900 
	Baja Tulangan Polos BjTP 280	kg	 Rp19,300 
	Baja tulangan sirip BjTS 280	kg	 Rp19,300 
	Beton fc 20 Mpa	m3	 Rp1,796,700 
	Beton 15 Mpa	m3	 Rp1,247,400 
	Paku jalan tidak memantul	"buah
"	 Rp64,500 
	Paku jalan memantul bujur sangkar	buah	 Rp51,000 
	"Paku jalan memantul persegi panjang	"	m3	 Rp113,400 
	Mata kucing	kg	 Rp139,800 
	Polytene 125 mikron	kg	 Rp219,100 
	Alat Penghampar Beton	Jam	 Rp249,500 
	Besi Strip	meter	 Rp14,600 
	Bahan Pracetak Saluran U Type DS 1	m2	 Rp634,500 
	Bahan Penutup Type DS 1	m2	 Rp187,000 
	Bahan Pracetak Saluran U Type DS 2	m2	 Rp837,400 
	"	Bahan Penutup Type DS 2"	m2	 Rp239,000 
	Bahan Pracetak Saluran U Type DS 3	m2	 Rp1,111,700 
	Bahan Penutup Type DS 3	m2	 Rp290,600 
	Asbuton	kg	 Rp2,400 
	Modifier Aspal	kg	 Rp19,100 
	Agregat Halus	m3	 Rp384,100 
	Kawat benrad	kg	 Rp25,000 
	Jaring Anyaman Tulangan Tunggal M6-M8	kg	 Rp11,300 
	Bak Teraso	Unit	 Rp792,600 
	Bathtub	Unit	 Rp3,628,700 
	Pipa Galvanis  1/2"	meter	 Rp35,200 
	"	Kabel"	meter	 Rp9,900 
	MCCB (Boks MCB)	buah	 Rp559,200 
	Timbunan Pilihan	m3	 Rp227,700 
	"	Pasir"	m3	 Rp396,500 
	Agregat Pokok	m3	 Rp340,200 
	"	Agregat Pengunci"	m3	 Rp340,200 
	Agregat Penutup	m3	 Rp340,200 
	Wiremesh M6	kg	 Rp11,300 
	Menie Besi (Zinc Chromate)	kg	 Rp46,500 
	"	Tiang Pancang Beton Bertulang Pracetak Ukuran 350 mm x 350 mm"	meter	 Rp760,900 
	Geotekstil non-woven	m2	 Rp17,000 
	Epoxy resin grout	kg	 Rp396,900 
	Aspal Penetrasi 60/70	kg	 Rp18,300 
	Balok Kayu Meranti	m3	 Rp3,098,000 
	Downlight 5 Inch 14,5 Watt LED dan aksesoris	bh	 Rp149,700 
	Isolasi	bh	 Rp9,600 
	Kabel NYM Supreme 2×2,5 mm²	m'	 Rp18,100 
	Kabel NYM Supreme 3×2,5 mm²	m'	 Rp23,600 
	Outlet Telepon dan aksesoris	Unit	 Rp56,700 
	Pintu Spandril uk. 70x200 cm (komplit aksesories)	bh	 Rp1,003,600 
	List Gypsum	m'	 Rp13,600 
	Plint ubin granit ukuran 10 x 30cm	buah	 Rp8,500 
	Cetakan diameter 20 cm	buah/meter	 Rp5,700 
	Cetakan diameter 40 cm	buah/meter	 Rp37,600 
	Cetakan ukuran 100 x 100	buah/meter	 Rp130,400 
	"	Lapis Drainase"	m3	 Rp218,400 
	Aspal Emulsi	Liter	 Rp18,400 
	Geotekstil Separator	m2	 Rp20,400 
	Cold Paving Hot Mix Asbuton (CPHMA)	m3	 Rp2,285,900 
	Anchorage	buah	 Rp2,799,800 
	"	Tiang pancang baja"	m	 Rp763,700 
	Elastomer bearing pad	buah	 Rp60,300 
	"	Roof Drain; Dia 3"" (80 mm) + Material Bantu"	bh	 Rp42,500 
	Tangki Toren Kapasitas 5 m3 + Material Bantu / Aksesoris	Unit	 Rp1,075,000 
	Multipleks 12 mm	Lembar	 Rp307,800 
	Joint Sealant	kg	 Rp59,200 
	Zat Aditif	kg	 Rp95,300 
	"	Ball Valve ; Dia. 1“ (25 mm) + Material Bantu"	unit	 Rp153,100 
	Outlet Data dan aksesoris	unit	 Rp38,600 
	Cat Marka (bukan thermoplastic)	kg	 Rp51,000 
	Pelat Rambu	buah	 Rp507,300 
	Lampu LED E27 100 watt merk philips	buah	 Rp198,400 
	Asbuton 50/30	"kg
"	 Rp2,600 
	Acuan, Multipleks	m3	 Rp141,700 
	Asphaltic Plug	m3	 Rp4,989,400 
	"	Elastomer karet alam berlapis baja"	buah	 Rp60,300 
	Pipa Baja	M241	 Rp22,700 
	Semen (50 Kg)	zak	 Rp77,700 
	Terentang Balok Kelas IV	m3	 Rp2,381,300 
	Handle Pintu	buah	 Rp68,000 
	"	Shower Set"	unit	 Rp666,000 
	Tempat Sabun	buah	 Rp96,400 
	Kran Zink	buah	 Rp518,200 
	"	Rangka Plafond Metal Furing"	m2	 Rp32,900 
	"	Klep diameter 3/4"""	"buah
"	 Rp102,100 
	Tangki Air 1000 liter	"buah
"	 Rp1,871,000 
	Pelampung Otomatis	"buah
"	 Rp34,700 
	Mesin Jet Pump kap.250 watt	unit	 Rp2,225,400 
	Mesin Pompa tekan kap. 150 watt	unit	 Rp1,530,800 
	Kabel telephone 4 x 0.5 mm	meter	 Rp4,800 
	Lampu TL 2 x 18 watt grille	"buah
"	 Rp66,300 
	"	Lampu TL 2 x 36 watt grille"	"buah
"	 Rp85,000 
	"	Besi Tempa"	m2	 Rp441,700 
	Rangka atap baja ringan	m2	 Rp141,700 
	IMB	m2	 Rp28,300 
	 HARGA BAHAN BESI DAN ALUMINIUM		 Rp- 
M.333	Angkur	Kg	 Rp37,000 
M.334	Baut	Kg	 Rp14,000 
M.335	Baja Profil	Kg	 Rp25,600 
M.336	Baja Ringan Canai Dingin C75	Btg	 Rp214,500 
M.337	Baja Ringan Canai Dingin C75	Kg	 Rp27,500 
M.338	Baja Ringan 75.100 Tebal 1mm	m1	 Rp214,500 
M.339	Baja Strip 0.2x2cm	Kg	 Rp22,500 
M.340	Baja Strip 0.2x2cm	m1	 Rp22,500 
M.341	Baja Tulangan	Kg	 Rp20,700 
M.342	Baja Tulangan Polos (BjTP)	Kg	 Rp20,700 
M.343	Baja Tulangan Sirip (BjTS)	Kg	 Rp20,700 
M.344	Dinabolt Ø12mm Uk. 10 - 15cm	Buah	 Rp22,400 
M.345	Besi Angker Diameter 8	Kg	 Rp65,700 
M.346	Besi Angkur Dia=16mm Pjg=50cm	Buah	 Rp31,900 
M.347	Besi Hollow 50x50x3mm	Kg	 Rp18,300 
M.348	Besi Strip	Kg	 Rp13,100 
M.349	Besi Strip	m1	 Rp109,400 
M.350	Besi Strip Tebal 5mm	Kg	 Rp13,100 
M.351	Gantungan/Hanger Panjang 2.5m	Buah	 Rp51,000 
M.352	Wiremesh M6	Kg	 Rp16,800 
M.353	Kawat Bendrat	Kg	 Rp28,200 
M.354	Kawat Bronjong Ø 2 - 4mm	Kg	 Rp38,100 
M.355	Kawat Duri	m1	 Rp14,500 
M.356	Kawat Harmonika	m2	 Rp73,400 
M.357	Kawat Jaring Panjang 2.4m dan Aksesories	Lbr	 Rp445,400 
M.358	Kawat Las	 Kg 	 Rp60,300 
M.359	Kawat Las Listrik	 Kg 	 Rp60,300 
M.360	Kawat Nyamuk	m2	 Rp34,700 
M.361	Kawat Seng 3mm	 Kg 	 Rp31,100 
M.362	Kawat Ø 4mm	Kg	 Rp31,100 
M.363	Pengelasan	cm	 Rp7,700 
M.364	Pipa Besi Hitam Dia. 1 Inch	m1	 Rp127,000 
M.365	Pipa Besi Hitam Dia. 1.5 Inch	m1	 Rp158,600 
