1.1.3.1	Pek. 1 m2 Pembersihan & Pengupasan Permukaan Tanah (Striping) sd Tanaman ∅ 2cm					
	Pekerja	L.01.01	OH	 0.33 	 152,900 	 50,457 
	Mandor	L.04.01	OH	 0.01 	 230,000 	 2,300 
				 JUMLAH TENAGA KERJA 		 52,757 
B	BAHAN				  	  
				 JUMLAH HARGA BAHAN 		 - 
C	PERALATAN				  	  
				 JUMLAH HARGA ALAT 		 - 
D	Jumlah (A+B+C)				  	 52,757 
E	Overhead & Profit (Maksimal 15%)			0%	  	 - 
F	Harga Satuan Pekerjaan (D+E)				  	 52,757 
						  
1.3.1.1	Pek. 1 m3 Urukan Kembali Galian Tanah Tanpa Pemadatan Secara Manual					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran B U.3.5.1.a (c)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.5000	 152,900.00 	 76,450.00 
	 Mandor	L.04	OH	0.0250	 230,000.00 	 5,750.00 
				 JUMLAH HARGA TENAGA KERJA		 82,200.00 
B	 BAHAN					  
				 JUMLAH HARGA BAHAN		 -   
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 82,200.00 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 82,200.00 
						
1.3.2.1	Pek. 1 m3 Pemadatan Tanah Per 20cm Menggunakan Alat Timbris Secara manual					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran B U.3.5.2.a (c)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.5000	 152,900.00 	 76,450.00 
	 Mandor	L.04	OH	0.0250	 230,000.00 	 5,750.00 
				 JUMLAH HARGA TENAGA KERJA		 82,200.00 
B	 BAHAN					  
				 JUMLAH HARGA BAHAN		 -   
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 82,200.00 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 82,200.00 
						
						
1.3.1.2	Pek. 1 m3 Urukan dengan Pasir Uruk Untuk Volume sd 200 m3 Tanpa Pemadatan Secara Manual					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran B U.3.5.1.b (c)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.3000	 152,900.00 	 45,870.00 
	 Mandor	L.04	OH	0.0150	 230,000.00 	 3,450.00 
				 JUMLAH HARGA TENAGA KERJA		 49,320.00 
B	 BAHAN					  
	 Pasir Urug	M.27	m3	1.200	 194,700.00 	 233,640.00 
				 JUMLAH HARGA BAHAN		 233,640.00 
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 282,960.00 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 282,960.00 
						
						
2.2.1.4.1	Pek. 1 m3 Beton Mutu Rendah F'c 7.5 MPa. Slump 100 ± 25mm Agregat Maks 19mm Secara Manual					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	1.6500	 152,900.00 	 252,285.00 
	 Tukang Batu	 L.02	OH	0.2750	 178,600.00 	 49,115.00 
	 Kepala Tukang	 L.03	OH	0.0280	 204,300.00 	 5,720.40 
	 Mandor	 L.04	OH	0.0090	 230,000.00 	 2,070.00 
				 JUMLAH HARGA TENAGA KERJA		 309,190.40 
B	 BAHAN					  
	 Semen Portland	M.33	Kg	250.000	 1,600.00 	 400,000.00 
